object_name,source_file,object_type,candidate_role,likely_graph_use,priority_for_poc,comments
INVESTIGAI_ICP_CAREGIVER_APP_SESSIONS,data/raw/ddl/Create_Table__INVESTIGAI_ICP_CAREGIVER_APP_SESSIONS.sql,table,feature_table,derived,medium,Pre-joined or feature-rich table; optional for first graph slice.
INVESTIGAI_ICP_WORK_BLOCKS,data/raw/ddl/Create_Table__INVESTIGAI_ICP_WORK_BLOCKS.sql,table,feature_table,derived,medium,Pre-joined or feature-rich table; optional for first graph slice.
INVESTIGAI_PROVIDER_CLAIMS,data/raw/ddl/Create_Table__INVESTIGAI_PROVIDER_CLAIMS.sql,table,feature_table,derived,medium,Pre-joined or feature-rich table; optional for first graph slice.
T_NORM_CARE_SESSION,data/raw/ddl/Create_Table__T_NORM_CARE_SESSION.sql,table,event,node,high,Care delivery timeline; fraud-relevant behavior.
T_NORM_CARE_SESSION_EVENT,data/raw/ddl/Create_Table__T_NORM_CARE_SESSION_EVENT.sql,table,event,node,high,Care delivery timeline; fraud-relevant behavior.
T_NORM_CHARGE,data/raw/ddl/Create_Table__T_NORM_CHARGE.sql,table,event,property_source,high,Billing and money flow; amounts and timing on graph.
T_NORM_CLAIM,data/raw/ddl/Create_Table__T_NORM_CLAIM.sql,table,event,node,high,Central claim object; hub for many relationships.
T_NORM_CLAIM_ELIGIBILITY_REVIEW_CROSSWALK,data/raw/ddl/Create_Table__T_NORM_CLAIM_ELIGIBILITY_REVIEW_CROSSWALK.sql,table,relationship,edge,high,Links two domain objects; primary graph edge materialization.
T_NORM_CLINICAL_REVIEW,data/raw/ddl/Create_Table__T_NORM_CLINICAL_REVIEW.sql,table,event,node,medium,Clinical and eligibility assessments.
T_NORM_DIAGNOSIS,data/raw/ddl/Create_Table__T_NORM_DIAGNOSIS.sql,table,event,node,medium,Clinical and eligibility assessments.
T_NORM_ELIGIBILITY_REVIEW,data/raw/ddl/Create_Table__T_NORM_ELIGIBILITY_REVIEW.sql,table,event,node,medium,Clinical and eligibility assessments.
T_NORM_INVOICE,data/raw/ddl/Create_Table__T_NORM_INVOICE.sql,table,event,property_source,high,Billing and money flow; amounts and timing on graph.
T_NORM_PAYMENT,data/raw/ddl/Create_Table__T_NORM_PAYMENT.sql,table,event,property_source,high,Billing and money flow; amounts and timing on graph.
T_NORM_POLICY,data/raw/ddl/Create_Table__T_NORM_POLICY.sql,table,entity,node,high,Policy contract anchor.
T_NORM_POLICY_RIDER,data/raw/ddl/Create_Table__T_NORM_POLICY_RIDER.sql,table,entity,property_source,medium,Rider details; often properties on Policy.
T_NORM_REVIEW_CYCLE,data/raw/ddl/Create_Table__T_NORM_REVIEW_CYCLE.sql,table,event,node,low,Audit or review workflow; later wave for investigations.
T_NORM_REVIEW_CYCLE_METRIC,data/raw/ddl/Create_Table__T_NORM_REVIEW_CYCLE_METRIC.sql,table,event,node,low,Audit or review workflow; later wave for investigations.
T_NORM_REVIEW_CYCLE_REMEDIATION,data/raw/ddl/Create_Table__T_NORM_REVIEW_CYCLE_REMEDIATION.sql,table,event,node,low,Audit or review workflow; later wave for investigations.
T_RESOLVED_ADDRESS,data/raw/ddl/Create_Table__T_RESOLVED_ADDRESS.sql,table,entity,node,high,Physical address; attach to Person or Business.
T_RESOLVED_BANK_ACCOUNT,data/raw/ddl/Create_Table__T_RESOLVED_BANK_ACCOUNT.sql,table,entity,node,high,Bank account endpoint; link payments and parties.
T_RESOLVED_BUSINESS,data/raw/ddl/Create_Table__T_RESOLVED_BUSINESS.sql,table,entity,node,high,Core party nodes (Person/Business).
T_RESOLVED_BUSINESS_ADDRESS_CROSSWALK,data/raw/ddl/Create_Table__T_RESOLVED_BUSINESS_ADDRESS_CROSSWALK.sql,table,relationship,edge,high,Links two domain objects; primary graph edge materialization.
T_RESOLVED_BUSINESS_ELIGIBILITY_REVIEW_CROSSWALK,data/raw/ddl/Create_Table__T_RESOLVED_BUSINESS_ELIGIBILITY_REVIEW_CROSSWALK.sql,table,relationship,edge,high,Links two domain objects; primary graph edge materialization.
T_RESOLVED_BUSINESS_INVOICE_CROSSWALK,data/raw/ddl/Create_Table__T_RESOLVED_BUSINESS_INVOICE_CROSSWALK.sql,table,relationship,edge,high,Links two domain objects; primary graph edge materialization.
T_RESOLVED_BUSINESS_PERSON_CROSSWALK,data/raw/ddl/Create_Table__T_RESOLVED_BUSINESS_PERSON_CROSSWALK.sql,table,relationship,edge,high,Links two domain objects; primary graph edge materialization.
T_RESOLVED_CARE_SESSION_EVENT_GEOLOCATION_CROSSWALK,data/raw/ddl/Create_Table__T_RESOLVED_CARE_SESSION_EVENT_GEOLOCATION_CROSSWALK.sql,table,relationship,edge,high,Links two domain objects; primary graph edge materialization.
